p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0.0004648827239415968,-1.21364581317343,1,1,0.0007435519198057473,3,FAM124A
0.02784485833073006,-2.101453933410972,1,1,0.03022702301681913,3,CHIC1
5.334618199026565e-10,2.7846993198086247,1,1,1.641452574404094e-09,3,LPL
4.6752638715973395e-48,-3.347294788115377,1,1,4.853773946694692e-47,3,CLEC2D
2.1752286877991248e-13,-6.445989555756487,1,1,8.288264123101146e-13,3,CD8B
2.409849106699016e-37,5.435693886062817,1,1,1.9901171238586706e-36,3,SLC6A12
2.958552600183105e-07,1.6358337037075765,1,1,7.123695628272211e-07,3,FAM214B
8.968277606479163e-05,-1.1755558499678138,1,1,0.00015988494912175385,3,ARPC5L
1.521667463592013e-09,1.7020517930556882,1,1,4.5086025589156975e-09,3,C20orf194
0.00027111815840736767,2.3188287699761165,1,1,0.0004502115825318856,3,LOC100507194
0.02089062782595797,-1.2404739827783469,1,1,0.02350351483569191,3,LOC285074
0.003493673164842094,-1.0436112432869944,1,1,0.00472082881672544,3,PIK3R1
0.0006253649964973424,1.0588616429465523,1,1,0.0009794607723353753,3,SLC46A3
4.627961997041657e-09,-1.649955698121046,1,1,1.3119123476720214e-08,3,STAG3L2
7.875790065548117e-06,2.0562970609377293,1,1,1.603644059704321e-05,3,SH3RF1
0.006989083447623181,-6.080689327960468,1,1,0.00885712318964802,3,LMCD1
6.443491287297429e-09,3.899594028711928,1,1,1.8098829708592986e-08,3,AIFM3
2.931029084790591e-06,3.03305674511781,1,1,6.301949032763848e-06,3,MROH6
3.922847367938658e-11,3.3313900325185264,1,1,1.304460975844494e-10,3,DDO
8.800118101288369e-142,5.770797111788542,1,1,2.3449381367233076e-140,3,MARCO
0.0008496209987217428,-1.2725897348046489,1,1,0.0012941825959949717,3,LOC100505676
0.01633487833177747,-1.460031985070919,1,1,0.018902868758573988,3,APBA3
0.03451649812354161,-1.1229908569407014,1,1,0.036440159270944475,3,LOC100288637
3.0149298804797234e-13,-1.1231572633034386,1,1,1.1400827561284252e-12,3,ZNF814
4.045436297320277e-12,1.1093841576333843,1,1,1.4514909228356505e-11,3,KDELR2
4.004104010818565e-11,-2.7202949837204917,1,1,1.3292694128938377e-10,3,LY9
3.5943131336482195e-05,1.0130318096332984,1,1,6.811981790038849e-05,3,SDF2L1
0.0,6.16582800257369,1,1,0.0,3,C1QA
0.02537005385686188,3.742358230800329,1,1,0.027842972340987624,3,MIR3941
0.010739411539899855,-1.0220197599055905,1,1,0.013047242530388971,3,PCDHB19P
5.0532817899988354e-05,1.6230098058582665,1,1,9.381313197689432e-05,3,SPRED2
0.0028153812658404257,-2.769580819931596,1,1,0.0038870738927682833,3,PITPNC1
7.261990968900472e-58,3.022179082886261,1,1,8.613109169939225e-57,3,ODF3B
9.903325282359883e-11,2.895712697246285,1,1,3.1870846339446416e-10,3,PIK3R6
0.000749117148409227,-1.2897862748143936,1,1,0.0011583060898227003,3,FZD4
0.00910909119047466,1.6342244477205445,1,1,0.011258205778703529,3,HOXB7
0.000885798095778739,-1.0308995846820224,1,1,0.0013462110223679163,3,MCPH1
1.8835839497663748e-07,-1.0227571229164143,1,1,4.615993284620601e-07,3,C9orf3
6.643176166776057e-32,-6.471471030139707,1,1,4.953875958694757e-31,3,LBH
1.0893597177522404e-05,-1.0079980414717857,1,1,2.1803559298225864e-05,3,C18orf61
1.0827559294549835e-06,-1.1156521194272435,1,1,2.436810501143901e-06,3,WNT7B
1.218500628440436e-05,1.2195763240522446,1,1,2.423058214863892e-05,3,DYNLT3
0.0025408735620261395,-1.5154400032803697,1,1,0.0035398646313762566,3,FKBP11
0.028054632755862393,-2.925850274320318,1,1,0.030364031173891682,3,CHPF
0.00298031803698233,-1.181982241152566,1,1,0.004089368758605689,3,ZNF682
1.9399932589088223e-55,2.6017395656084537,1,1,2.1966439251723976e-54,3,LY96
1.8724261527582597e-06,1.1632295998141822,1,1,4.090667018017218e-06,3,ARL5A
4.885210240883537e-06,1.3949887796412634,1,1,1.0207101585369313e-05,3,CISD3
1.1597642926736387e-17,3.095063934917551,1,1,5.4600446146248923e-17,3,ITGB5
0.0005224554482899125,-2.7420241322458225,1,1,0.0008286723915931667,3,RGL4
6.401104020062123e-109,2.7946207132893557,1,1,1.3188254004220777e-107,3,TYMP
3.6486055364404234e-22,1.5716965006120378,1,1,2.0311248369292996e-21,3,FKBP2
6.421309505525422e-10,-6.526888614670487,1,1,1.9592346636324513e-09,3,THEMIS
3.402099368574103e-82,4.217896148017815,1,1,5.250266863394088e-81,3,FLVCR2
0.00012274412753359004,1.1813886957724913,1,1,0.00021470821783446803,3,AP1S1
1.2368747569697695e-71,1.272617576726929,1,1,1.72859734391894e-70,3,SAT1
0.0014261604928762078,-1.1408030799830398,1,1,0.002085753197960557,3,TDGF1P3
5.74123617254604e-19,-2.0879349428013048,1,1,2.8974395178871873e-18,3,NLRC3
0.0032787858041886967,1.556408485373482,1,1,0.004457758881964816,3,ASTL
1.5432215003270062e-11,1.3728642998181328,1,1,5.26301735222444e-11,3,MEF2C
0.049819407532926845,1.0744733924961078,1,1,0.049819407532926845,3,CBFA2T3
1.914537854408717e-06,-1.4142195222976364,1,1,4.177078495672294e-06,3,AFF3
5.490134481104408e-27,-6.631190415739941,1,1,3.6151676311325075e-26,3,ZAP70
4.4676652705651465e-99,-5.532601038573222,1,1,8.229151191911931e-98,3,PTPRCAP
0.018455687467948685,-1.3706693512643038,1,1,0.02106435831221899,3,DLGAP1-AS1
0.002298468755335182,-2.0913809998427997,1,1,0.003239398092570884,3,MPPED2
0.027066536834756832,1.6279904268165517,1,1,0.029502303716532056,3,LILRA4
1.582760441141278e-231,7.012139589844116,1,1,7.622040341255047e-230,3,CD300C
2.7954627314224963e-18,-1.3887969899183905,1,1,1.3642813843096115e-17,3,APOBEC3D
0.016298225156432197,1.5777465316931143,1,1,0.01887684901485352,3,RENBP
0.028099189377789748,-1.0453436546863857,1,1,0.030401165548649862,3,ZNF764
1.3734333189237004e-07,1.8138606658732548,1,1,3.420319611051732e-07,3,FHL3
1.3705583049238159e-05,1.8713319725263249,1,1,2.7132845689848896e-05,3,SPATA5L1
0.04619876172062445,-1.0785612126785535,1,1,0.04668936803978152,3,RAD51B
0.003466802743127424,-1.4319077799097948,1,1,0.0046924519350763,3,MMRN2
2.390371824063606e-10,2.0681212775402438,1,1,7.505354423238204e-10,3,NDST1
1.4398709919873603e-35,2.496657838069947,1,1,1.155655492966562e-34,3,C11orf75
0.012281776631791839,-1.394777187746242,1,1,0.014680102032677028,3,FKBP7
1.4748754815832366e-239,4.29049476420936,1,1,7.557791410113072e-238,3,GPNMB
0.025156738394518183,-1.7981728142605078,1,1,0.02764681973134154,3,SLC39A14
3.102109979256703e-08,1.527912544861436,1,1,8.249589878302755e-08,3,GPR137B
1.400625264690452e-07,1.3937536996225468,1,1,3.481529342641628e-07,3,TMEM60
7.258210973685398e-07,-1.0475529727567525,1,1,1.667302831139111e-06,3,NOS1
2.288603248729244e-11,1.3831032468678757,1,1,7.725968906394247e-11,3,ABCG1
0.030708497976294654,-1.0615909872374978,1,1,0.03285381863256149,3,ACACA
0.0041171824935666975,-1.4050779506452635,1,1,0.005459979570931019,3,CNTN4
0.0010314916511765147,3.1689943995593137,1,1,0.0015528708586638527,3,LINC00303
1.40508399260079e-22,2.0955657831165557,1,1,7.932373896081013e-22,3,GNPDA1
1.2388877294847857e-47,1.6725611645194178,1,1,1.2697010909617148e-46,3,MGAT1
0.00022961084045487311,-1.3017262628382948,1,1,0.0003852873758598354,3,CHEK1
8.704171979868306e-07,-1.2875517980588926,1,1,1.980112430480001e-06,3,LOC374443
4.8959949633445915e-25,1.6712337984308567,1,1,3.0106602874597435e-24,3,RTN3
8.752791425922635e-15,1.0585038400097722,1,1,3.610413553086974e-14,3,PSMB6
3.3505419858866057e-25,1.6441692742653111,1,1,2.0666846169118462e-24,3,HSD17B11
2.8935695846750327e-12,-4.357054909192549,1,1,1.0466604189996477e-11,3,CTSW
3.4674224289282617e-09,3.9584626074446185,1,1,9.913653396585308e-09,3,SYN1
0.00377407647080642,1.3125918464542616,1,1,0.005050212137198949,3,PIGV
0.0034535711003086528,-1.4294671824714889,1,1,0.004676125910546641,3,APBB1
0.00042106369355508056,-1.2920728252111626,1,1,0.0006772601944223972,3,CHD3
1.1856717285348051e-93,6.202612496292213,1,1,2.0877224224465267e-92,3,RNASE2
0.0015756967166427732,-1.099727648938787,1,1,0.0022835604700584353,3,CHD6
0.013811331768293954,-1.5069113484691203,1,1,0.016332512744932227,3,SPICE1
0.01655013026831251,-1.6590682551051292,1,1,0.019107703836639255,3,ZNF318
0.015645555365796485,-1.6747812512703457,1,1,0.018221236828988508,3,POTEE
0.003921699412094345,-1.0248741870805433,1,1,0.005219791058988043,3,LOC100506599
2.9037081428958685e-25,2.6696458881186826,1,1,1.796613227113744e-24,3,NCEH1
0.016531960839348655,-1.1123875764336726,1,1,0.019092241396959427,3,PAN2
2.7019281031036885e-07,-1.2587970724987563,1,1,6.537292147763585e-07,3,SLC7A14
0.0,7.164278444602162,1,1,0.0,3,SERPINA1
0.023279743686674546,1.4422608486279889,1,1,0.025811133291439158,3,NPPA-AS1
0.009839070862038835,1.2823630216897202,1,1,0.012074536762532768,3,FADS2
2.667520063862894e-255,6.496849409888355,1,1,1.5017010838394348e-253,3,FCGR1B
0.033878328580237704,2.5255693515557236,1,1,0.03584178648937608,3,CYP4F3
2.4677873841295772e-05,1.080908903452016,1,1,4.7513228200221195e-05,3,AHCY
0.00019210197697447327,3.303781923473232,1,1,0.0003272939479825105,3,CCL17
7.574815516516186e-06,-1.377251478700016,1,1,1.547089300946101e-05,3,ZNF543
1.1494442360416672e-05,-1.174125502418956,1,1,2.2937237201490482e-05,3,ISPD
0.03012990994714178,-2.4158279057290053,1,1,0.03237345431686175,3,CDR2
0.010361404111917575,-1.0762814141425574,1,1,0.012649521147017272,3,EXOSC9
6.476422587219714e-07,-1.3351930572183797,1,1,1.4937253941787189e-06,3,ZNF566
0.00016639324557104134,-5.639852334523255,1,1,0.00028580739258592705,3,KLRC2
8.48466795398798e-06,-1.2425178210181926,1,1,1.7258635018875296e-05,3,GPR12
0.011017681544680845,1.239447210114262,1,1,0.013344749434572527,3,FAR2
0.00010801664447593859,1.3012449888042217,1,1,0.00019044663783428608,3,PLAGL1
2.6898744269127637e-26,2.9595735277721293,1,1,1.731308870268972e-25,3,THBD
0.020877640820567173,1.626262778182904,1,1,0.02350351483569191,3,FAAH
0.0480621427442723,-1.5644568461617259,1,1,0.048303843235820064,3,POLA1
3.510663037234804e-13,-2.2094893100353867,1,1,1.3262873497001429e-12,3,MAP4K1
0.02445642190715531,1.0396423511221948,1,1,0.026973597782257115,3,ANKRD42
0.04067364935784949,1.614254705861613,1,1,0.04185699703484151,3,PDE9A
2.50526228289411e-07,-1.0640220955319408,1,1,6.083556102507751e-07,3,WDR17
0.004152943554197453,-1.3225072928772572,1,1,0.0055037517858511995,3,RNF113A
5.2392998649287174e-12,2.799250176259223,1,1,1.856514322705681e-11,3,CAMKK1
5.4174923330737716e-11,-1.224440208693933,1,1,1.7778092656236343e-10,3,ANXA6
4.21564748502198e-14,1.2735318833667093,1,1,1.6849942997632852e-13,3,HIST2H2AA4
0.03643705648337646,3.628859517182328,1,1,0.03819536185786932,3,C22orf42
0.02041905749011467,-3.214610669449013,1,1,0.023038668305028858,3,ANKS1B
3.1778163791367724e-16,3.2123210930194963,1,1,1.401957181833298e-15,3,GPR126
3.1390134404000647e-21,3.718401094651232,1,1,1.6954914488214945e-20,3,MFSD2A
3.393457649628174e-38,3.5965304004052356,1,1,2.8615295834522813e-37,3,KLHDC8B
0.028008942979517167,1.003942502884883,1,1,0.030331006526450856,3,MEPCE
1.6250239289426228e-48,4.182476650079078,1,1,1.7047823212555547e-47,3,ABCC3
7.003019121512154e-92,2.261053687930349,1,1,1.2117345207222546e-90,3,HLA-DMB
3.326367679993673e-19,2.3217014682662716,1,1,1.6872451290526282e-18,3,BRE-AS1
0.04153624961150179,1.0455295966420766,1,1,0.042580248704070955,3,EDNRB
1.192745724660223e-17,1.80691110272193,1,1,5.602120636271341e-17,3,SCD
0.001372335338200934,-1.9817615802068318,1,1,0.002014404828053299,3,ANXA2R
0.022078683558434783,-2.5262848704143375,1,1,0.024660586411291797,3,SYNJ2
7.690413199225609e-24,1.5366780218173415,1,1,4.5404108651853414e-23,3,ST3GAL6
3.14291311363161e-134,4.1600562416709534,1,1,7.900769632192166e-133,3,SLAMF8
3.1805823852964328e-12,3.006490132397508,1,1,1.148399981393843e-11,3,GPR141
0.004463985630748466,2.7297199613610648,1,1,0.005890574633906114,3,TSPAN16
2.839964359766612e-07,-1.1885776209269603,1,1,6.85467243115166e-07,3,SEPT9
0.03272799039321175,-2.604838463047696,1,1,0.03470255976001731,3,N6AMT1
2.9516590256482473e-07,-1.0875257288439488,1,1,7.111381028038604e-07,3,DGKB
0.04158999689840881,1.3447736903463459,1,1,0.04262441476998462,3,FBXW9
2.876743655026932e-62,2.1692270758907517,1,1,3.709143351336337e-61,3,HEXB
6.286693574910606e-07,1.1333349421563776,1,1,1.4508033613693817e-06,3,WAS
9.167930093815266e-12,-5.7232381657799705,1,1,3.189226856830254e-11,3,KLF12
0.012200638508592865,-1.0803450560288137,1,1,0.014591846833885602,3,ITM2C
0.002826959316724516,-3.7102165217974084,1,1,0.0039017114602720613,3,DAPK2
0.046270210627622675,-2.4875012530374283,1,1,0.04674975527770674,3,TCTEX1D2
0.0015815944187272818,-1.3895531734561657,1,1,0.002291276872654203,3,CDH6
8.107330267478185e-10,2.8028050992426548,1,1,2.4549241726598714e-09,3,ANG
4.8677047266721545e-15,-1.0121643080511775,1,1,2.0351690159527824e-14,3,NMT2
2.9553984214961954e-05,-3.7145524705704536,1,1,5.6601473362339685e-05,3,DFNB31
1.7540875135208168e-05,-1.617646247494336,1,1,3.438493276872342e-05,3,CREBZF
0.0024985568256980163,-1.4646957709099355,1,1,0.0034845539540526767,3,NSUN5P1
1.1788920875994619e-11,2.391504281309405,1,1,4.06911198111835e-11,3,UBD
0.0003031142692310683,1.687290586949012,1,1,0.0004981692985676728,3,S100A1
0.013971364347432359,1.2993521688499787,1,1,0.016507107093315737,3,TMEM63B
1.7846451925488893e-211,5.63453253323985,1,1,7.670136381309581e-210,3,S100A8
0.0002828019137489359,-1.1293562952144929,1,1,0.0004676703555045498,3,C1orf140
0.0018567346347922922,-1.33741755908256,1,1,0.0026580832146363867,3,TRAPPC10
2.160487527407717e-22,2.090118771621794,1,1,1.2162631897251613e-21,3,CPQ
1.8267746051872196e-29,6.306033810650894,1,1,1.2832369238898624e-28,3,IRG1
0.01714601100596695,1.4825156147860388,1,1,0.019728998581262393,3,SPAG4
0.01803587328349035,1.22914503339626,1,1,0.02062643362349383,3,NUDT3
1.3075237476109746e-11,2.316960720843488,1,1,4.493699414618285e-11,3,DFNA5
0.00044586607043255985,1.044436787727217,1,1,0.000714565630921789,3,POLB
5.354987269929893e-43,2.7667179117214404,1,1,4.9776474692813446e-42,3,H1F0
8.18207474901917e-05,1.1258030748702914,1,1,0.00014711539708425381,3,GAPT
1.6609238497702702e-18,2.0896717226351544,1,1,8.175754467403658e-18,3,CREBL2
6.882588899564557e-29,5.553869892137032,1,1,4.743053074406816e-28,3,CACNA2D3
3.4356177238747904e-43,3.1101116556784265,1,1,3.214078224307453e-42,3,CCRL2
0.0012406382752505258,-2.4251913519805295,1,1,0.001835244702507902,3,MAGEH1
0.011998629584488734,2.4959505988093587,1,1,0.014397944868659262,3,C9orf106
